date,semaine_cdc,regroupement,variant,proportion
2025-02-09,07,XEC.6,0,0
2025-02-09,07,XEC.8,1,0.7874016
2025-02-09,07,XEC.9,0,0
2025-02-09,07,XEK,1,0.7874016
2025-02-09,07,XEK.1,2,1.5748031
2025-02-09,07,XEM,4,3.1496063
2025-02-23,09,Autres,0,0
2025-02-23,09,JN.1.16.1,0,0
2025-02-23,09,KP.3.1.1,2,2.2222222
2025-02-23,09,KP.3.3.5,3,3.3333333
2025-02-23,09,LB.1.3.1,2,2.2222222
2025-02-23,09,LF.7,24,26.666667
2025-02-23,09,LF.7.1,2,2.2222222
2025-02-23,09,LF.7.2.1,2,2.2222222
2025-02-23,09,LP.8.1,1,1.1111111
2025-02-23,09,LP.8.1.1,8,8.8888889
2025-02-23,09,LP.8.1.2,0,0
2025-02-23,09,MC.1,1,1.1111111
2025-02-23,09,MC.1.2,8,8.8888889
2025-02-23,09,MC.1.3.1,0,0
2025-02-23,09,MC.10.1,4,4.4444444
2025-02-23,09,MC.10.2,0,0
2025-02-23,09,MC.11,1,1.1111111
2025-02-23,09,MC.13,0,0
2025-02-23,09,MC.13.2,1,1.1111111
2025-02-23,09,MC.16,0,0
2025-02-23,09,MC.19,0,0
2025-02-23,09,MC.19.1,0,0
2025-02-23,09,MC.2,0,0
2025-02-23,09,MC.21.1,0,0
2025-02-23,09,MC.28.1,1,1.1111111
2025-02-23,09,MC.4,0,0
2025-02-23,09,MC.6,0,0
2025-02-23,09,MC.9,0,0
2025-02-23,09,MV.1,0,0
2025-02-23,09,NF.1,1,1.1111111
2025-02-23,09,NL.2,1,1.1111111
2025-02-23,09,NL.3,0,0
2025-02-23,09,NL.4,0,0
2025-02-23,09,XEC,15,16.666667
2025-02-23,09,XEC.1,0,0
2025-02-23,09,XEC.11,3,3.3333333
2025-02-23,09,XEC.13,1,1.1111111
2025-02-23,09,XEC.14,1,1.1111111
2025-02-23,09,XEC.16,0,0
2025-02-23,09,XEC.2,1,1.1111111
2025-02-23,09,XEC.2.1,1,1.1111111
2025-02-23,09,XEC.2.2,1,1.1111111
2025-02-23,09,XEC.4,0,0
2025-02-23,09,XEC.6,0,0
2025-02-23,09,XEC.8,1,1.1111111
2025-02-23,09,XEC.9,2,2.2222222
2025-02-23,09,XEK,1,1.1111111
2025-02-23,09,XEK.1,1,1.1111111
2025-02-23,09,XEM,0,0
2025-03-09,11,Autres,0,0
2025-03-09,11,JN.1.16.1,1,1.9230769
2025-03-09,11,KP.3.1.1,1,1.9230769
2025-03-09,11,KP.3.3.5,2,3.8461538
2025-03-09,11,LB.1.3.1,2,3.8461538
2025-03-09,11,LF.7,7,13.461538
2025-03-09,11,LF.7.1,0,0
2025-03-09,11,LF.7.2.1,0,0
2025-03-09,11,LP.8.1,1,1.9230769
2025-03-09,11,LP.8.1.1,2,3.8461538
2025-03-09,11,LP.8.1.2,0,0
2025-03-09,11,MC.1,0,0
2025-03-09,11,MC.1.2,5,9.6153846
2025-03-09,11,MC.1.3.1,0,0
