date,site,nom_site,cible,valeur,unite,fraction,drapeau_qualite
2021-05-27,MMN,Montréal Nord,covN1,16.63854534567512,gcML,solid,0
2021-05-27,MMN,Montréal Nord,covN2,25.6102615132849,gcML,solid,0
2021-05-27,MMN,Montréal Nord,nPPMoV,42712.37276899233,gcML,solid,0
2021-05-27,MMS,Montréal Sud,covN1,5.813369023732985,gcML,solid,0
2021-05-27,MMS,Montréal Sud,covN2,7.881002399971752,gcML,solid,0
2021-05-27,MMS,Montréal Sud,nPPMoV,13041.18588612081,gcML,solid,0
2021-05-30,MMN,Montréal Nord,covN1,12.00879761681724,gcML,solid,0
2021-05-30,MMN,Montréal Nord,covN2,15.91916947428718,gcML,solid,0
2021-05-30,MMN,Montréal Nord,nPPMoV,23916.30859907962,gcML,solid,0
2021-05-30,MMS,Montréal Sud,covN1,6.02020078647797,gcML,solid,0
2021-05-30,MMS,Montréal Sud,covN2,14.40067389233715,gcML,solid,0
2021-05-30,MMS,Montréal Sud,nPPMoV,21535.76424734747,gcML,solid,0
2021-06-03,MMN,Montréal Nord,covN1,3,gcML,solid,0
2021-06-03,MMN,Montréal Nord,covN2,5.002815028550611,gcML,solid,0
2021-06-03,MMN,Montréal Nord,nPPMoV,4617.364860503238,gcML,solid,0
2021-06-03,MMS,Montréal Sud,covN1,3.12393182615029,gcML,solid,0
2021-06-03,MMS,Montréal Sud,covN2,8.002537313762213,gcML,solid,0
2021-06-03,MMS,Montréal Sud,nPPMoV,20096.51139609092,gcML,solid,0
2021-06-06,MMN,Montréal Nord,covN1,3.985136699993972,gcML,solid,0
2021-06-06,MMN,Montréal Nord,covN2,5.870612926082346,gcML,solid,0
2021-06-06,MMN,Montréal Nord,nPPMoV,14424.00199729583,gcML,solid,0
2021-06-06,MMS,Montréal Sud,covN1,3.520654824624879,gcML,solid,0
2021-06-06,MMS,Montréal Sud,covN2,3.540809619869461,gcML,solid,0
2021-06-06,MMS,Montréal Sud,nPPMoV,14618.17397191155,gcML,solid,0
2021-06-10,MMN,Montréal Nord,covN1,3.071209456803244,gcML,solid,0
2021-06-10,MMN,Montréal Nord,covN2,10.50153036525283,gcML,solid,0
2021-06-10,MMN,Montréal Nord,nPPMoV,27783.83632724734,gcML,solid,0
2021-06-10,MMS,Montréal Sud,covN1,3.154195676000233,gcML,solid,0
2021-06-10,MMS,Montréal Sud,covN2,8.982773303371479,gcML,solid,0
2021-06-10,MMS,Montréal Sud,nPPMoV,19405.92771486886,gcML,solid,0
2021-06-13,MMN,Montréal Nord,covN1,7.33807992274592,gcML,solid,0
2021-06-13,MMN,Montréal Nord,covN2,14.69104998688188,gcML,solid,0
2021-06-13,MMN,Montréal Nord,nPPMoV,23635.42752944652,gcML,solid,0
2021-06-13,MMS,Montréal Sud,covN1,3.88814099466502,gcML,solid,0
2021-06-13,MMS,Montréal Sud,covN2,3.989750686646841,gcML,solid,0
2021-06-13,MMS,Montréal Sud,nPPMoV,17613.98272439314,gcML,solid,0
2021-06-17,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-06-17,MMS,Montréal Sud,covN2,3,gcML,solid,0
2021-06-17,MMS,Montréal Sud,nPPMoV,17588.67933527256,gcML,solid,0
2021-06-20,MMN,Montréal Nord,covN1,2.952507315862344,gcML,solid,0
2021-06-20,MMN,Montréal Nord,covN2,7.281266425554505,gcML,solid,0
2021-06-20,MMN,Montréal Nord,nPPMoV,97698.29358808079,gcML,solid,0
2021-06-20,MMS,Montréal Sud,covN1,1,gcML,solid,0
2021-06-20,MMS,Montréal Sud,covN2,3.747161136562548,gcML,solid,0
2021-06-20,MMS,Montréal Sud,nPPMoV,55853.63316202899,gcML,solid,0
2021-06-21,MMN,Montréal Nord,covN1,3.628715251169936,gcML,solid,0
2021-06-21,MMN,Montréal Nord,covN2,3,gcML,solid,0
2021-06-21,MMN,Montréal Nord,nPPMoV,27661.56745714956,gcML,solid,0
2021-06-24,MMN,Montréal Nord,covN1,3,gcML,solid,0
2021-06-24,MMN,Montréal Nord,covN2,3,gcML,solid,0
2021-06-24,MMN,Montréal Nord,nPPMoV,28274.02936515241,gcML,solid,0
2021-06-24,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-06-24,MMS,Montréal Sud,covN2,3,gcML,solid,0
2021-06-24,MMS,Montréal Sud,nPPMoV,16045.532205378,gcML,solid,0
2021-06-27,MMN,Montréal Nord,covN1,2.89217237234111,gcML,solid,0
2021-06-27,MMN,Montréal Nord,covN2,6.9791210342477346,gcML,solid,0
2021-06-27,MMN,Montréal Nord,nPPMoV,17777.83398195913,gcML,solid,0
2021-06-27,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-06-27,MMS,Montréal Sud,covN2,3,gcML,solid,0
2021-06-27,MMS,Montréal Sud,nPPMoV,15790.88644887876,gcML,solid,0
2021-07-01,MMN,Montréal Nord,covN1,3,gcML,solid,0
